,ID,GBCODE,Longitude,Latitude
1005481,1646.0,150401.0,121.607451,31.214867
1005482,1646.0,150401.0,121.495161,31.236947
1005483,1646.0,150401.0,121.467337,31.345557
1005484,1646.0,150401.0,121.615061,31.15711
1005485,1646.0,150401.0,121.409944,31.212765
1005486,1646.0,150401.0,121.53946299999998,31.28525
1005487,1646.0,150401.0,121.1304,31.153882
1005488,1646.0,150401.0,121.509105,30.818105
1005489,1646.0,150401.0,121.189136,31.096295
1005490,1646.0,150401.0,121.500524,31.212964000000003
1005491,1646.0,150401.0,121.514107,31.263487
1005492,1646.0,150401.0,121.494021,31.203159000000007
1005493,1646.0,150401.0,121.538204,31.221276
1005494,1646.0,150401.0,121.352168,31.257782
1005495,1646.0,150401.0,121.48632,31.235337
1005496,1646.0,150401.0,121.450699,31.195524
1005497,1646.0,150401.0,121.480309,31.246359
1005498,1646.0,150401.0,121.471747,31.199709
1005499,1646.0,150401.0,121.430536,31.188444
1005500,1646.0,150401.0,121.45808999999998,31.23691
1005501,1646.0,150401.0,121.594966,31.194984
1005502,1646.0,150401.0,121.16508799999998,30.899726
1005503,1646.0,150401.0,121.425564,31.261425
1005504,1646.0,150401.0,121.406657,31.22011
1005505,1646.0,150401.0,121.487963,31.226065
1005506,1646.0,150401.0,121.241924,31.008682
1005507,1646.0,150401.0,121.463726,31.200353000000003
1005508,1646.0,150401.0,121.248784,31.382983000000007
1005509,1646.0,150401.0,121.223923,31.015318
1005510,1646.0,150401.0,121.49506,31.298714
1005511,1646.0,150401.0,121.465795,31.209744
1005512,1646.0,150401.0,121.397124,31.620766
1005513,1646.0,150401.0,121.24693700000002,31.385147
1005514,1646.0,150401.0,121.446699,31.147039000000003
1005515,1646.0,150401.0,121.468178,31.262007
1005516,1646.0,150401.0,121.490279,31.18641
1005517,1646.0,150401.0,121.42973,31.216282
1005518,1646.0,150401.0,121.220599,30.966305
1005519,1646.0,150401.0,121.050453,31.113405
1005520,1646.0,150401.0,121.2227,31.37112
1005521,1646.0,150401.0,121.48491,31.240978
1005522,1646.0,150401.0,121.520057,31.295971999999995
1005523,1646.0,150401.0,121.409966,31.205205
1005524,1646.0,150401.0,121.38381499999998,31.193031
1005525,1646.0,150401.0,121.300175,31.296478000000004
1005526,1646.0,150401.0,121.329676,31.426764
1005527,1646.0,150401.0,121.341082,31.146225
1005528,1646.0,150401.0,121.248784,31.382983000000007
1005529,1646.0,150401.0,121.40904,31.204784000000004
1005530,1646.0,150401.0,121.915494,30.898472
1005531,1646.0,150401.0,121.763129,31.056967
1005532,1646.0,150401.0,121.165652,31.280639
1005533,1646.0,150401.0,121.830724,30.897616
1005534,1646.0,150401.0,121.449917,31.212267
1005535,1646.0,150401.0,121.449929,31.212278
1005536,1646.0,150401.0,121.470964,31.230312
1005537,1646.0,150401.0,121.417726,31.297019
1005538,1646.0,150401.0,121.454032,31.213105
